domain,estimand,detection_profile,action_delay_fraction,residual_contact_multiplier,system_family,effect,source_artifact,observation_profile,method,rewiring_fraction,epidemic_model,disease_regime,mapping,contrast,endpoint
delivery,history_policy_over_no_action,early_detection,0.0,0.25,guinea_baboons_sociopatterns,0.0048076923076923,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,early_detection,0.0,0.5,guinea_baboons_sociopatterns,0.0052083333333333,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,early_detection,0.1,0.0,guinea_baboons_sociopatterns,0.0,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,early_detection,0.1,0.25,guinea_baboons_sociopatterns,0.0,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,early_detection,0.1,0.5,guinea_baboons_sociopatterns,0.0052083333333333,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,delayed_detection,0.0,0.0,linked_wytham_songbird_family,0.0147339613904829,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,delayed_detection,0.0,0.25,linked_wytham_songbird_family,0.0069410311277432,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,delayed_detection,0.0,0.5,linked_wytham_songbird_family,0.010075170396733,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,delayed_detection,0.1,0.0,linked_wytham_songbird_family,0.0147339613904829,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,delayed_detection,0.1,0.25,linked_wytham_songbird_family,0.0069410311277432,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,delayed_detection,0.1,0.5,linked_wytham_songbird_family,0.010075170396733,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,early_detection,0.0,0.0,linked_wytham_songbird_family,0.0011528122415219,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,early_detection,0.0,0.25,linked_wytham_songbird_family,0.0087039844140161,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,early_detection,0.0,0.5,linked_wytham_songbird_family,0.0175482583741355,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,early_detection,0.1,0.0,linked_wytham_songbird_family,0.0041074373600435,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,early_detection,0.1,0.25,linked_wytham_songbird_family,0.0094357645812801,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,early_detection,0.1,0.5,linked_wytham_songbird_family,0.0113783865792637,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,delayed_detection,0.0,0.0,oxford_wildbird_network,0.0,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,delayed_detection,0.0,0.25,oxford_wildbird_network,0.0,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,delayed_detection,0.0,0.5,oxford_wildbird_network,0.0,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,delayed_detection,0.1,0.0,oxford_wildbird_network,0.0,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,delayed_detection,0.1,0.25,oxford_wildbird_network,0.0,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,delayed_detection,0.1,0.5,oxford_wildbird_network,0.0,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
